sku;Descrição;Novo Pr.Custo Real;custo;Novo Pr. Venda 3
9292;DAR - PENEIRA COADOR DARBAK;0,4674;65,45;4,6541
10034;DIV - TELA FIX 5M;20,7973;54,32;82,0824
10262;ITEM ESPECIAL;1,0028;67,29;3,8786
12840;CLU - BICICLETA ARO 26 CLUBE;490,0055;68,69;2015,3808
18077;CLU - BICICLETA ARO 26 CAMPANHAS FORNECEDORES;490,0055;68,69;2015,3808
8073;SUV - ESM BR COR & PROT CINZA MEDIO SUVINIL 3.6L;111,1736;11,83;127,836
9639;SUV - VERNIZ MARIT MADEIRA PROTEGIDA BRILHANTE SUVINIL 3.6L;98,1928;48,27;209,774
5259;SUV - ESM AGUA BR TABACO SUVINIL 3.6L;100,6612;19,29;127,836
9665;SUV - ESM BR COR & PROT PLATINA SUVINIL 3.6L;111,1736;11,83;127,836
9319;SUV - ACR SB TOQUE BRILHO BRANCO SUVINIL 18L;609,4545;44,66;1199,92
5404;SUV - ACR TS TOQUE DE SEDA BRANCO SUVINIL 18L;597,5317;43,14;1138,864
5406;SUV - ACR FC COMPLETO GELO SUVINIL 3.6L;125,9614;54,57;315,986
5418;SUV - ACR FC COMPLETO AREIA SUVINIL 3.6L;134,4132;40,17;241,15
9287;SUV - ACR TS TOQUE DE SEDA BRANCO SUVINIL 3.6L;154,6336;44,23;301,676
5441;SUV - ACR RM CAMURCA SUVINIL 18L;286,832;51,3;659,744
5493;SUV - ESM BR COR & PROT CINZA ESC. SUVINIL 900ML;34,4463;60,32;102,714
5548;SUV - ESM ACET COR & PROT VERDE COLONIAL SUVINIL 3.6L;116,4518;60,24;346,408
5554;SUV - ESM ACET COR & PROT MARROM BARROCO SUVINIL 3.6L;116,4408;60,25;346,408
5577;GLA - ESM ACET BRANCO GLASU 3.6L;106,4353;52,43;252,068
5800;SUV - ESM AGUA BR GELO SUVINIL 3.6L;100,6612;19,29;127,836
9655;SUV - ACR FC COMPLETO PALHA SUVINIL 3.6L;125,9614;43,64;242,634
5805;SUV - ESM FC COR & PROT PRETO SUVINIL 3.6L;121,741;36,55;203,838
5845;SUV - FUNDO EPOXI SOLV BRANCO SUVINIL 2.7L;184,1543;52,44;436,19
5841;SUV - ESMALTE GRAFITE ESCURO SUVINIL 3.6L;126,9201;59,89;373,226
6753;SUV - VERNIZ AGUA PROTECAO TRIPLA NATURAL SUVINIL 900ML;36,7934;64,52;127,306
5866;SUV - ACR FC COMPLETO PALHA SUVINIL 18L;486,6336;16,54;595,084
9784;SUV - ACR FC COMPLETO BRANCO SUVINIL 3.6L;125,9614;24,99;173,84
9587;SUV - ESM BR COR & PROT CINZA ESC. SUVINIL 3.6L;111,1736;11,83;127,836
5607;SUV - SELADORA MADEIRA SUVINIL 3.6L;120,7603;48,59;259,912
6081;SUV - VERNIZ STAIN PROTETOR NATURAL SUVINIL 900ML;47,9669;62,17;152,322
6105;SUV - ESM BR COR & PROT AZUL FRANCA SUVINIL 3.6L;111,1736;11,83;127,836
6325;SUV - AGUA RAZ SUVINIL 5L;80,8821;22,98;124,338
5489;SUV - VERNIZ AGUA PROTECAO TRIPLA MOGNO SUVINIL 3,6L;128,6832;60,86;390,716
9375;SUV - ESM AGUA BRIL BRANCO SUVINIL 3.6L;100,6612;19,29;127,836
6545;SUV - VERNIZ STAIN PROTETOR MOGNO SUVINIL 900ML;49,741;61,14;152,428
6648;SUV - ESM AGUA BR VERDE SUVINIL 900ML;30,6887;64,32;105,364
9128;SUV - ACR FC COMPLETO GELO SUVINIL 18L;486,6336;16,54;595,084
6743;SUV - ESM AGUA BR MARFIM SUVINIL 900ML;33,8953;61,56;105,364
6744;SUV - VERNIZ LONGA DURAÇÃO ULTRA PROTECAO NATURAL 3.6L;204,7383;59,47;593,918
7247;SUV - ESM AGUA BR MARFIM SUVINIL 3.6L;100,6612;19,29;127,836
7784;SUV - ESM AGUA BR AZUL DEL REY SUVINIL 900ML;31,2287;63,85;105,364
9284;SUV - ACR FC COMPLETO BRANCO SUVINIL 18L;486,6336;15,67;588,194
6092;SUV - ACR FC COMPLETO ALGODAO EGIPCIO SUVINIL 18L;486,6336;16,54;595,084
9403;SUV - ESM BR COR & PROT VERDE COL. SUVINIL 3.6L;111,1736;11,83;127,836
6945;SUV - ESM AGUA BR PLATINA SUVINIL 3.6L;100,6612;19,29;127,836
6943;SUV - ACR RM PALHA RENDE MUITO SUVINIL 3,6L;74,2259;63,65;248,57
7039;SUV - TOQUE FOSCO AREIA (LATEX CLASSICA) SUVINIL 18L;400,6722;45,82;809,204
5905;SUV - ACR FC COMPLETO ALGODAO EGIPCIO SUVINIL 3.6L;125,9614;52,68;300,298
7066;SUV - VERNIZ TRIPLA PROTEÇÃO F. SOLAR MOGNO SUVINIL 3.6L;137,2231;50,64;310,474
7084;SUV - PISO CINZA ESCURO SUVINIL 18L;267,8237;44,26;522,792
6007;SUV - ACR SB TOQUE BRILHO BRANCO SUVINIL 3.6L;157,7631;33,9;251,856
7210;SUV - ESM BR COR & PROT TABACO SUVINIL 900ML;34,4463;67,34;133,56
7206;SUV - ESM BR COR & PROT LARANJA SUVINIL 900ML;34,4463;67,34;133,56
7212;SUV - ESM BR COR & PROT AREIA SUVINIL 900ML;30,9642;69,71;133,56
7238;SUV - VERNIZ LONGA DURAÇÃO ULTRA PROTECAO IMBUIA 3.6L;204,7383;59,47;593,918
7237;SUV - ESM ACET COR & PROT PLATINA SUVINIL 3.6L;116,4518;60,24;346,408
7262;SUV - VERNIZ AGUA PROTECAO TRIPLA NATURAL SUVINIL 3,6L;116,7713;54,05;288,744
7282;SUV - ESM AGUA BR VERMELHO SUVINIL 3.6L;100,6612;19,29;127,836
7319;SUV - SELADOR ACR SUVINIL 18L;143,0744;52,76;341,744
7326;SUV - ESM AGUA BR AMARELO SUVINIL 3.6L;100,6612;19,29;127,836
7361;SUV - ESM BR COR & PROT PRETO SUVINIL 3.6L;111,1736;11,83;127,836
7470;SUV - ESM BR COR & PROT AREIA SUVINIL 3.6L;105,8402;15,61;127,836
7934;SUV - ESM BR COR & PROT AZUL DEL REY SUVINIL 900ML;34,4463;67,34;133,56
7498;SUV - ACR RM AREIA RENDE MUITO SUVINIL 3,6L;80,584;42,37;151,156
9488;SUV - PISO BRANCO SUVINIL 3.6L;67,5923;33,91;107,908
7537;SUV - PISO AZUL SUVINIL 3.6L;67,5923;58,81;192,072
7539;SUV - VERNIZ STAIN PROTETOR NATURAL SUVINIL 3.6L;157,5096;60,8;477,21
7553;SUV - ESM BR COR & PROT AZUL FRANCA SUVINIL 900ML;32,5179;68,66;133,56
7570;SUV - VERNIZ STAIN PROTETOR IMBUIA SUVINIL 3.6L;162,4242;57,9;448,698
7602;SUV - ESM BR COR & PROT CINZA MEDIO SUVINIL 900ML;34,4463;67,34;133,56
7655;SUV - TOQUE FOSCO PALHA (LATEX CLASSICA) SUVINIL 3,6L;97,2011;64,92;341,532
7683;SUV - PISO VERDE SUVINIL 3.6L;67,5923;66,18;249,63
7731;SUV - PISO CINZA SUVINIL 18L;267,8237;37,29;454,634
7743;SUV - ACR RM GELO RENDE MUITO SUVINIL 18L;311,416;40,77;565,404
7747;SUV - ESMALTE GRAFITE ESCURO SUVINIL 900ML;39,3388;65,12;139,284
7755;SUV - ESM BR COR & PROT ALUMINIO SUVINIL 3.6L;143,8347;19,28;182,638
7778;SUV - ESM BR COR & PROT PLATINA SUVINIL 900ML;34,4683;60,33;102,82
7798;SUV - ESM BR COR & PROT TABACO SUVINIL 3.6L;107,7135;14,28;127,836
7831;SUV - ESM BR COR & PROT LARANJA SUVINIL 3.6L;111,1736;11,83;127,836
7849;SUV - ESM FC COR & PROT VERDE ESCOLAR SUVINIL 900ML;37,719;57,18;101,972
7850;SUV - ESM BR COR & PROT GELO SUVINIL 900ML;32,8154;61,76;102,714
7943;SUV - PISO CINZA SUVINIL 3.6L;67,5923;66,18;249,63
7948;SUV - ESM BR COR & PROT CAMURCA SUVINIL 3.6L;105,8512;15,61;127,836
7952;SUV - ESM BR COR & PROT CAMURCA SUVINIL 900ML;30,9642;69,71;133,56
7971;SUV - EPOXI MULTISSUPERFICIES AGUA BRANCO SUVINIL 900ML;58,27;58,89;165,996
8030;SUV - ACR RM PALHA RENDE MUITO SUVINIL 18L;311,416;46,42;637,484
8052;SUV - ESM BR COR & PROT MARROM CONH. SUVINIL 900ML;34,4463;60,32;102,714
8066;SUV - ESM FC COR & PROT VERDE ESCOLAR SUVINIL 3.6L;121,741;60,7;367,608
8157;SUV - MASSA MADEIRA SUVINIL 3.6L;53,1821;50,71;175,536
8159;SUV - TOQUE FOSCO GELO (LATEX CLASSICA) SUVINIL 18L;375,5262;47,79;793,198
8166;SUV - ESM ACET COR & PROT AREIA SUVINIL 3.6L;116,4518;60,24;346,408
8189;SUV - ESM ACET COR & PROT MARROM BARROCO SUVINIL 900ML;36,1322;67,17;139,072
8207;SUV - ESM BR COR & PROT MARFIM SUVINIL 3.6L;105,8402;15,61;127,836
8262;SUV - ESM AGUA BR AZUL DEL REY SUVINIL 3.6L;100,6612;19,29;127,836
